Scheduled Principal,Curtailments,Curtailment Adjustments,Prepayment,Repurchase Principal,Other Principal Adjustments,Liquidation Principal,Principal Losses
51.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
